2025-03-26 00:23:25,489 INFO    MainThread:40411 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-26 00:24:17,353 INFO    MainThread:40411 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-26 00:24:17,430 INFO    MainThread:40411 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/matthieuneau/Desktop/Centrale/DLP/practice-labs/wandb/run-20250326_002417-vwzhuze0/logs/debug.log
2025-03-26 00:24:17,430 INFO    MainThread:40411 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/matthieuneau/Desktop/Centrale/DLP/practice-labs/wandb/run-20250326_002417-vwzhuze0/logs/debug-internal.log
2025-03-26 00:24:17,430 INFO    MainThread:40411 [wandb_init.py:init():761] calling init triggers
2025-03-26 00:24:17,430 INFO    MainThread:40411 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-26 00:24:17,430 INFO    MainThread:40411 [wandb_init.py:init():776] wandb.init() called while a run is active
2025-03-26 00:24:20,194 INFO    MainThread:40411 [wandb_run.py:_finish():2112] finishing run matthieu-neau/lora/2f7jop3m
2025-03-26 00:24:20,196 INFO    MainThread:40411 [jupyter.py:save_history():458] not saving jupyter history
2025-03-26 00:24:20,197 INFO    MainThread:40411 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-26 00:24:20,197 INFO    MainThread:40411 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-26 00:24:20,197 INFO    MainThread:40411 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-26 00:24:20,197 INFO    MainThread:40411 [wandb_run.py:_restore():2322] restore
2025-03-26 00:24:20,198 INFO    MainThread:40411 [wandb_run.py:_restore():2328] restore done
2025-03-26 00:24:21,111 INFO    MainThread:40411 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-26 00:24:21,117 INFO    MainThread:40411 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-26 00:24:21,120 INFO    MainThread:40411 [wandb_run.py:_footer_sync_info():3917] logging synced files
