2025-03-26 00:36:44,628 INFO    MainThread:40411 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-26 00:36:44,630 INFO    MainThread:40411 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-26 00:37:20,339 INFO    MainThread:40411 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-26 00:37:20,772 INFO    MainThread:40411 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-26 00:37:20,773 INFO    MainThread:40411 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-26 00:37:22,769 INFO    MainThread:40411 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-26 00:37:22,776 INFO    MainThread:40411 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-26 00:37:22,778 INFO    MainThread:40411 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-26 00:37:24,985 INFO    MainThread:40411 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-26 00:37:25,242 INFO    MainThread:40411 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-26 00:37:25,242 INFO    MainThread:40411 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-26 00:37:33,606 INFO    MainThread:40411 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-26 00:37:33,883 INFO    MainThread:40411 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-26 00:37:33,885 INFO    MainThread:40411 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-26 00:37:44,657 INFO    MainThread:40411 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-26 00:37:45,095 INFO    MainThread:40411 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-26 00:37:45,095 INFO    MainThread:40411 [wandb_init.py:_pause_backend():564] pausing backend
